character,short description,tags,LLM description
🪙,COIN,['coin' 'money' 'trade' 'value' 'finance' 'currency'],"This emoji represents a coin, often used to symbolize money, trade, and value in various contexts."
🥶,COLD FACE,['cold face' 'feeling cold' 'unimpressed' 'lack of enthusiasm' 'interest'],"This emoji represents a cold face, often used to express feeling cold, being unimpressed, or experiencing a lack of enthusiasm or interest."
💥,COLLISION,['collision' 'explosion' 'accident' 'impact' 'sudden' 'event' 'drama'],"This emoji represents a collision or explosion, often used to express a sudden event, accident, or dramatic impact."
☄️,COMET,"['comet' 'space' 'celestial' 'astronomy' 'ice' 'dust' 'rocky' 'orbit'
 'trail']","This emoji represents a comet, a celestial object consisting of ice, dust, and rocky material that orbits the sun and leaves a visible trail as it moves through space."
☄,COMET,['comet' 'astronomy' 'space' 'celestial' 'nature' 'wonder' 'ice' 'dust'],"This emoji represents a comet, a celestial object composed of ice and dust that orbits the sun, often associated with astronomical events and natural wonders."
🧭,COMPASS,['compass' 'navigation' 'direction' 'guidance' 'exploration' 'wayfinding'],"This emoji represents a compass, a navigational instrument used for determining direction relative to Earth's magnetic poles, often used to symbolize guidance, exploration, and finding one's way."
💽,COMPUTER DISK,"['computer disk' 'data storage' 'file management' 'digital information'
 'technology' 'storage device']","This emoji represents a computer disk, often used to symbolize data storage, file management, and the transfer of digital information."
🖱️,COMPUTER MOUSE,"['computer mouse' 'technology' 'input device' 'cursor control'
 'digital interaction' 'pointing device']","This emoji represents a computer mouse, a handheld pointing device commonly used to control the cursor and interact with graphical user interfaces on computers and other digital devices."
🖱,COMPUTER MOUSE,"['computer mouse' 'technology' 'input device' 'cursor control'
 'digital interaction' 'pointing device']","This emoji represents a computer mouse, a handheld pointing device commonly used to control the cursor and interact with graphical user interfaces on computers and other digital devices."
🎊,CONFETTI BALL,['confetti' 'celebration' 'joy' 'excitement' 'party' 'event' 'festival'],"This emoji represents a confetti ball, often used to symbolize celebration, joy, and excitement, typically seen at parties, events, and festivals."
😖,CONFOUNDED FACE,"['confused' 'bewildered' 'perplexed' 'astonished' 'unsure' 'emotions'
 'face']","This emoji represents a confused or bewildered face, often used to express feelings of being perplexed, astonished, or unsure about a situation."
😕,CONFUSED FACE,['confused' 'uncertainty' 'misunderstanding' 'unclear' 'expression' 'face'],"This emoji represents a face expressing confusion, often used to convey uncertainty, misunderstanding, or a lack of clarity in a situation."
🚧,CONSTRUCTION,"['construction' 'progress' 'development' 'growth' 'building' 'roadwork'
 'sign']","This emoji represents a construction sign, often used to indicate ongoing building or roadwork, and can symbolize progress, development, and growth."
👷,CONSTRUCTION WORKER,"['construction worker' 'hard hat' 'progress' 'construction' 'work' 'labor'
 'building']","This emoji represents a construction worker, often depicted wearing a hard hat and holding a pickaxe or shovel, symbolizing hard work, progress, and construction projects."
👷🏿,CONSTRUCTION WORKER DARK SKIN TONE,"['construction worker' 'dark skin tone' 'hard work' 'labor' 'construction'
 'occupation' 'building']","This emoji represents a construction worker with a dark skin tone, often used to convey hard work, labor, or construction-related activities."
👷🏻,CONSTRUCTION WORKER LIGHT SKIN TONE,"['construction worker' 'light skin tone' 'hard work' 'progress'
 'building industry']","This emoji represents a construction worker with a light skin tone, often used to convey hard work, progress, or the building industry."
👷🏾,CONSTRUCTION WORKER MEDIUM-DARK SKIN TONE,"['construction worker' 'hard work' 'labor' 'construction'
 'medium-dark skin tone']","This emoji represents a construction worker with a medium-dark skin tone, often used to convey hard work, labor, or construction-related activities."
👷🏼,CONSTRUCTION WORKER MEDIUM-LIGHT SKIN TONE,"['construction worker' 'hard work' 'labor' 'construction'
 'medium-light skin tone']","This emoji represents a construction worker with a medium-light skin tone, often used to convey hard work, labor, or construction-related activities."
👷🏽,CONSTRUCTION WORKER MEDIUM SKIN TONE,"['construction worker' 'labor' 'work' 'medium skin tone' 'construction'
 'job' 'industry']","This emoji represents a construction worker with a medium skin tone, often used to convey work, labor, or construction-related activities."
🎛️,CONTROL KNOBS,['control' 'knobs' 'adjust' 'manage' 'operate' 'device' 'system'],"This emoji represents control knobs, often used to symbolize adjusting settings, managing, or operating various devices or systems."
🎛,CONTROL KNOBS,['control' 'knobs' 'adjust' 'manage' 'operate' 'device' 'system'],"This emoji represents control knobs, often used to symbolize adjusting settings, managing, or operating various devices or systems."
🏪,CONVENIENCE STORE,"['convenience store' 'retail' 'shopping' 'store' 'goods' 'quick purchase'
 'everyday items']","This emoji represents a convenience store, a small retail business that offers a variety of everyday products such as snacks, drinks, and household items for quick purchase."
🧑‍🍳,COOK,['cooking' 'chef' 'food' 'kitchen' 'culinary' 'home cook' 'preparation'],"This emoji represents a person cooking, often used to express activities related to food preparation, culinary arts, or to show someone who is a chef or home cook."
🧑🏿‍🍳,COOK DARK SKIN TONE,"['cook' 'dark skin tone' 'person' 'cooking' 'food' 'culinary' 'character'
 'ethnicity']","This emoji represents a person cooking, with a dark skin tone, indicating a character with a darker complexion. It is often used in the context of cooking, food preparation, or culinary activities."
🧑🏻‍🍳,COOK LIGHT SKIN TONE,"['cook' 'chef' 'light skin tone' 'culinary arts' 'food preparation'
 'creativity' 'passion' 'sharing meal']","This emoji represents a light skin tone cook or chef, often used to convey professions related to cooking, culinary arts, or food preparation, and can also symbolize creativity, passion, or sharing a meal with others."
🧑🏾‍🍳,COOK MEDIUM-DARK SKIN TONE,"['cook' 'chef' 'medium-dark skin tone' 'culinary arts' 'food preparation'
 'cooking']","This emoji represents a medium-dark skin tone cook, showing a person preparing food, often used in the context of cooking, culinary arts, or chefs."
🧑🏼‍🍳,COOK MEDIUM-LIGHT SKIN TONE,['cook' 'cooking' 'food' 'meal' 'culinary' 'medium-light skin tone'],"This emoji represents a medium-light skin tone cook, showing a person preparing food, often used to convey cooking, culinary activities, or to express a desire to eat or share a meal."
🧑🏽‍🍳,COOK MEDIUM SKIN TONE,['cooking' 'chef' 'food' 'medium skin tone' 'preparation' 'culinary'],"This emoji represents a person cooking, specifically a medium skin tone, and is often used to convey the act of preparing food or expressing interest in cooking or culinary activities."
🍚,COOKED RICE,['cooked rice' 'food' 'nourishment' 'comfort' 'meal' 'staple'],"This emoji represents cooked rice, a staple food in many cultures, symbolizing nourishment, comfort, and a balanced meal."
🍪,COOKIE,['cookie' 'baked goods' 'sweet' 'treat' 'sharing' 'comfort' 'indulgence'],"This emoji represents a cookie, a small baked sweet treat enjoyed by many, often associated with sharing, comfort, and indulgence."
🍳,COOKING,['cooking' 'food' 'meal' 'recipe' 'kitchen' 'cuisine' 'prepare'],"This emoji represents cooking, symbolizing the process of preparing food, often used to express culinary activities, mealtime, or sharing recipes."
©️,COPYRIGHT,"['copyright' 'legal' 'protection' 'creative works' 'intellectual property'
 'law']","This emoji represents a copyright symbol, used to indicate legal protection of creative works such as literature, music, and art."
©,COPYRIGHT,"['copyright' 'legal' 'protection' 'creator' 'original work'
 'intellectual property']","This emoji represents a copyright symbol, indicating legal protection for original works such as literature, music, and art, and is used to assert one's rights as the creator of such works."
🪸,CORAL,"['coral' 'marine life' 'ocean' 'ecosystem' 'invertebrate' 'underwater'
 'reef']","This emoji represents coral, a marine invertebrate animal that forms a hard exoskeleton and lives in colonies. It is often found in tropical and subtropical seas and is an essential part of the ocean's ecosystem."
🛋️,COUCH AND LAMP,['couch' 'lamp' 'living room' 'relaxation' 'comfort' 'home'],"This emoji represents a living room setting, featuring a couch and a lamp, often used to convey relaxation, comfort, and home."
🛋,COUCH AND LAMP,['couch' 'lamp' 'comfort' 'relaxation' 'living room' 'bedroom' 'home'],"This emoji represents a couch and a lamp, often used to convey a cozy, comfortable, and relaxing atmosphere, typically found in living rooms or bedrooms."
🔄,COUNTERCLOCKWISE ARROWS BUTTON,"['counterclockwise' 'arrows' 'circular motion' 'reverse' 'backward'
 'sequence' 'process']","This emoji represents a counterclockwise arrows button, often used to indicate a circular motion, reversing order, or going backward in a sequence or process."
💑,COUPLE WITH HEART,"['couple' 'love' 'affection' 'relationship' 'heart' 'romance'
 'partnership']","This emoji represents a couple holding hands with a heart between them, symbolizing love, affection, and romantic relationships."
💑🏿,COUPLE WITH HEART DARK SKIN TONE,"['couple' 'heart' 'relationship' 'partnership' 'affection' 'togetherness'
 'support' 'dark skin tone']","This emoji represents a couple with a heart, where the skin tone is depicted as dark, symbolizing two people in a loving relationship or partnership, often used to express affection, togetherness, and support."
💑🏻,COUPLE WITH HEART LIGHT SKIN TONE,['couple' 'love' 'relationship' 'affection' 'heart' 'light skin tone'],"This emoji represents a couple with a heart, where the skin tone is light, symbolizing love, relationships, and affection between two people."
👨‍❤️‍👨,COUPLE WITH HEART MAN MAN,"['couple' 'love' 'affection' 'same-sex' 'relationship' 'heart'
 'commitment']","This emoji represents two men holding hands with a heart in between them, symbolizing love, affection, and commitment between same-sex partners."
